"","x"
"1534",-73
"1535",-66
"1536",-66
"1537",-66
"1538",-63
"1539",-66
"1540",-66
"1541",-71
"1542",-68
"1543",-63
"1544",-61
"1545",-63
"1546",-66
"1547",-66
"1548",-61
"1549",-61
"1550",-56
"1551",-54
"1552",-54
"1553",-61
"1554",-61
"1555",-63
"1556",-66
"1557",-66
"1558",-68
"1559",-68
"1560",-68
"1561",-78
"1562",-76
"1563",-76
"1564",-61
"1565",-44
"1566",-39
"1567",-34
"1568",-34
"1569",-46
"1570",-49
"1571",-44
"1572",-54
"1573",-56
"1574",-54
"1575",-54
"1576",-56
"1577",-51
"1578",-66
"1579",-154
"1580",-205
"1581",20
"1582",679
"1583",1243
"1584",979
"1585",337
"1586",98
"1587",27
"1588",-56
"1589",-78
"1590",-90
"1591",-88
"1592",-95
"1593",-95
"1594",-88
"1595",-83
"1596",-78
"1597",-76
"1598",-81
"1599",-85
"1600",-88
"1601",-88
"1602",-85
"1603",-90
"1604",-88
"1605",-88
"1606",-85
"1607",-83
"1608",-85
"1609",-88
"1610",-85
"1611",-90
"1612",-90
"1613",-85
"1614",-78
"1615",-73
"1616",-66
"1617",-56
"1618",-44
"1619",-22
"1620",-5
"1621",5
"1622",12
"1623",22
"1624",24
"1625",15
"1626",2
"1627",-12
"1628",-20
"1629",-27
"1630",-39
"1631",-37
"1632",-39
"1633",-44
"1634",-51
"1635",-61
"1636",-61
"1637",-68
"1638",-73
"1639",-78
"1640",-71
"1641",-71
"1642",-73
"1643",-71
"1644",-71
"1645",-71
"1646",-68
"1647",-66
"1648",-61
"1649",-63
"1650",-63
"1651",-61
"1652",-61
"1653",-61
"1654",-56
"1655",-54
"1656",-51
"1657",-59
"1658",-63
"1659",-63
"1660",-66
"1661",-66
"1662",-66
"1663",-68
"1664",-73
"1665",-76
"1666",-78
"1667",-78
"1668",-78
"1669",-78
"1670",-81
"1671",-81
"1672",-78
"1673",-78
"1674",-83
"1675",-83
"1676",-78
"1677",-76
"1678",-81
"1679",-83
"1680",-85
"1681",-88
"1682",-85
"1683",-81
"1684",-78
"1685",-83
"1686",-81
"1687",-78
"1688",-81
"1689",-83
"1690",-78
"1691",-76
"1692",-73
"1693",-76
"1694",-73
"1695",-76
"1696",-85
"1697",-83
"1698",-66
"1699",-59
"1700",-61
"1701",-61
"1702",-61
"1703",-71
"1704",-78
"1705",-93
"1706",-100
"1707",-98
"1708",-90
"1709",-90
"1710",-93
"1711",-95
"1712",-132
"1713",-229
"1714",-247
"1715",37
"1716",713
"1717",1140
"1718",745
"1719",190
"1720",15
"1721",-39
"1722",-105
"1723",-127
"1724",-144
"1725",-146
"1726",-144
"1727",-144
"1728",-142
"1729",-129
