"Time","ec"
1437721211408,-54
1437721211416,-61
1437721211424,-61
1437721211432,-49
1437721211440,-56
1437721211447,-56
1437721211455,-44
1437721211463,-32
1437721211471,-22
1437721211479,-32
1437721211487,-27
1437721211495,-10
1437721211503,0
1437721211510,-5
1437721211518,5
1437721211526,29
1437721211534,27
1437721211542,24
1437721211550,17
1437721211558,15
1437721211566,24
1437721211573,12
1437721211581,5
1437721211589,7
1437721211597,0
1437721211605,10
1437721211613,12
1437721211621,29
1437721211629,22
1437721211637,20
1437721211644,27
1437721211652,32
1437721211660,27
1437721211668,29
1437721211676,22
1437721211684,15
1437721211692,29
1437721211700,32
1437721211707,39
1437721211715,34
1437721211723,27
1437721211731,27
1437721211739,22
1437721211747,22
1437721211755,20
1437721211763,12
1437721211770,10
1437721211778,2
1437721211786,7
1437721211794,15
1437721211802,10
1437721211810,7
1437721211818,7
1437721211826,-2
1437721211834,-5
1437721211841,0
1437721211849,0
1437721211857,-2
1437721211865,-5
1437721211873,2
1437721211881,20
1437721211889,27
1437721211896,29
1437721211904,37
1437721211912,32
1437721211920,27
1437721211928,29
1437721211936,17
1437721211944,22
1437721211951,20
1437721211959,10
1437721211967,22
1437721211975,22
1437721211983,-27
1437721211991,-107
1437721211999,-54
1437721212007,352
1437721212014,964
1437721212022,1018
1437721212030,544
1437721212038,249
1437721212046,142
1437721212054,63
1437721212062,34
1437721212069,15
1437721212077,27
1437721212085,20
1437721212093,17
1437721212101,34
1437721212109,27
1437721212117,22
1437721212124,12
1437721212132,15
1437721212140,-5
1437721212148,-10
1437721212156,-10
1437721212164,-32
1437721212172,-22
1437721212179,-29
1437721212187,-29
1437721212195,-24
1437721212203,-22
1437721212211,-29
1437721212219,-34
1437721212227,-34
1437721212234,-24
1437721212242,-20
1437721212250,-27
1437721212258,-17
1437721212266,-12
1437721212274,-15
1437721212282,-15
1437721212289,-10
1437721212297,-2
1437721212305,12
1437721212313,10
1437721212321,10
1437721212329,5
1437721212337,2
1437721212344,0
1437721212352,-10
1437721212360,-12
1437721212368,-24
1437721212376,-34
1437721212384,-49
1437721212392,-56
1437721212400,-49
1437721212407,-66
1437721212415,-78
1437721212423,-83
1437721212431,-83
1437721212439,-85
1437721212447,-83
1437721212455,-76
1437721212462,-76
1437721212470,-68
1437721212478,-56
1437721212486,-51
1437721212494,-49
1437721212502,-49
1437721212510,-39
1437721212517,-32
1437721212525,-42
1437721212533,-42
1437721212541,-32
1437721212549,-24
1437721212557,-24
1437721212565,-27
1437721212572,-29
1437721212580,-29
1437721212588,-32
1437721212596,-42
1437721212604,-46
1437721212612,-46
1437721212620,-34
1437721212627,-42
1437721212635,-37
1437721212643,-22
